StudyNumber,Country,SiteName,SiteID,RS_Paper,RS_Norm,Measure_Year,Measure_Season,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Tsoil(C),SoilMoisture(%),TimeLable,MiddleClimate,MiddleVegType,Meas_Method,Comments
320,USA,US-scruces  ,US-scr,12.486,0.081557,1980,Summer,7,NULL,32.17,-106.45,15.726,NULL,1,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,14.202,0.092766,1980,Summer,7,NULL,32.17,-106.45,16.242,NULL,1,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,86.77,0.566771,1980,Summer,7,NULL,32.17,-106.45,50.492,NULL,10,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,78.223,0.510943,1980,Summer,7,NULL,32.17,-106.45,40.378,NULL,10,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,55.324,0.36137,1980,Summer,7,NULL,32.17,-106.45,54.335,NULL,14,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,41.649,0.272046,1980,Summer,7,NULL,32.17,-106.45,46.278,NULL,14,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,33.939,0.221686,1980,Summer,7,NULL,32.17,-106.45,53.3,NULL,16,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,21.112,0.137901,1980,Summer,7,NULL,32.17,-106.45,44.043,NULL,17,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,45.351,0.296227,1980,Summer,7,NULL,32.17,-106.45,23.592,NULL,6,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,50.48,0.329729,1980,Summer,7,NULL,32.17,-106.45,21.535,NULL,6,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,167.681,1.095272,1980,Summer,7,NULL,32.17,-106.45,40.264,NULL,18,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,155.71,1.017079,1980,Summer,7,NULL,32.17,-106.45,36.492,NULL,19,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,120.548,0.787405,1980,Summer,7,NULL,32.17,-106.45,42.785,NULL,8,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,130.804,0.854396,1980,Summer,7,NULL,32.17,-106.45,27.871,NULL,8,B,GRA,Alkali absorption,
320,USA,US-scruces  ,US-scr,135.68,0.886246,1980,Summer,7,NULL,32.17,-106.45,29.284,NULL,21,B,BSV,Alkali absorption,
320,USA,US-scruces  ,US-scr,114.238,0.746189,1980,Summer,7,NULL,32.17,-106.45,29.628,NULL,21,B,GRA,Alkali absorption,
504,USA,Panoche  Creek,US-PAC,2.019,1.321,1986,Summer,8,226,36.23,-119.55,NULL,NULL,2,B,CRO,Gas chromatography,NULL
504,USA,Panoche  Creek,US-PAC,1.097,0.7175,1986,Summer,8,226,36.23,-119.55,NULL,NULL,6,B,CRO,Gas chromatography,NULL
504,USA,Panoche  Creek,US-PAC,1.355,0.886,1986,Summer,8,226,36.23,-119.55,NULL,NULL,10,B,CRO,Gas chromatography,NULL
504,USA,Panoche  Creek,US-PAC,2.65,1.734,1986,Summer,8,226,36.23,-119.55,NULL,NULL,14,B,CRO,Gas chromatography,NULL
504,USA,Panoche  Creek,US-PAC,2.805,1.836,1986,Summer,8,226,36.23,-119.55,NULL,NULL,18,B,CRO,Gas chromatography,NULL
504,USA,Panoche  Creek,US-PAC,2.169,1.419,1986,Summer,8,226,36.23,-119.55,NULL,NULL,22,B,CRO,Gas chromatography,NULL
585,Bulgaria,Cocpua,BU-COC,110.9,0.725,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,24,Df,GRA,Unknown,NULL
585,Bulgaria,Cocpua,BU-COC,80,0.523,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,6,Df,GRA,Unknown,NULL
585,Bulgaria,Cocpua,BU-COC,104,0.68,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,12,Df,GRA,Unknown,NULL
585,Bulgaria,Cocpua,BU-COC,320,2.094,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,16,Df,GRA,Unknown,NULL
585,Bulgaria,Cocpua,BU-COC,248,1.623,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,20,Df,GRA,Unknown,NULL
585,Bulgaria,Cocpua,BU-COC,96,0.628,1987,NULL,NULL,-9999,42.25,23.4,NULL,NULL,24,Df,GRA,Unknown,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,6.921721,1994,Spring,5,122,50.326,7.679,22,NULL,13,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,5.612234,1994,Spring,5,122,50.326,7.679,15.4,NULL,10,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,6.254018,1994,Spring,5,122,50.326,7.679,19,NULL,12,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,7.3831,1994,Spring,5,122,50.326,7.679,21,NULL,15,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,6.926905,1994,Spring,5,122,50.326,7.679,19.6,NULL,16,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,6.469673,1994,Spring,5,122,50.326,7.679,18.2,NULL,18,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,3.765682,1994,Spring,5,122,50.326,7.679,6.5,NULL,7,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,6.090202,1994,Spring,5,122,50.326,7.679,16.8,NULL,20,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,4.561949,1994,Spring,5,122,50.326,7.679,10.5,NULL,9,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,7.889062,1994,Autumn,10,263,50.326,7.679,11,NULL,13,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,4.078797,1994,Autumn,10,263,50.326,7.679,9,NULL,11,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,8.844997,1994,Autumn,10,263,50.326,7.679,13,NULL,15,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,5.684811,1994,Autumn,10,263,50.326,7.679,11,NULL,17,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,2.348367,1994,Autumn,10,263,50.326,7.679,6,NULL,7,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,5.045101,1994,Autumn,10,263,50.326,7.679,10,NULL,19,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,2.56506,1994,Autumn,10,263,50.326,7.679,7,NULL,9,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,2.661483,1995,Spring,4,118,50.326,7.679,9,NULL,10,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,2.904095,1995,Spring,4,118,50.326,7.679,10,NULL,12,Cf,DF,IRGA,NULL
1021,Germany,DE-Ahrweiler,DE-Ahr,NULL,3.293935,1995,Spring,4,118,50.326,7.679,11,NULL,14,Cf,DF,IRGA,NULL
