# Downloaded 05 July 2017 from https://catalogue.ceh.ac.uk/documents/253aa0a7-1d5a-446c-a5ca-fe2f0f50f6b1
Year,Plot,Treatment,Rs_annual,,,,,,
1999,1,Warming,1178.6,,,,,,
2000,1,Warming,1138.9,,,,,,
2001,1,Warming,687.5,,,,,,
2002,1,Warming,623.1,,,,,,
2003,1,Warming,658.2,,,,,,
2004,1,Warming,459,,,,,,
2005,1,Warming,555.2,,,,,,
2006,1,Warming,601.4,,,,,,
2007,1,Warming,612.4,,,,,,
2008,1,Warming,409,,,,,,
2009,1,Warming,369.7,,,,,,
2010,1,Warming,336.8,,,,,,
2011,1,Warming,379.8,,,,,,
2012,1,Warming,425.8,,,,,,
2013,1,Warming,427.9,,,,,,
2014,1,Warming,397.1,,,,,,
2015,1,Warming,299.1,,,,,,
2016,1,Warming,281.6,,,,,,
1999,2,Warming,821.3,,,,,,
2000,2,Warming,957.5,,,,,,
2001,2,Warming,801.7,,,,,,
2002,2,Warming,616,,,,,,
2003,2,Warming,670.2,,,,,,
2004,2,Warming,524.3,,,,,,
2005,2,Warming,479.3,,,,,,
2006,2,Warming,584.8,,,,,,
2007,2,Warming,539.6,,,,,,
2008,2,Warming,449.7,,,,,,
2009,2,Warming,389.8,,,,,,
2010,2,Warming,342.4,,,,,,
2011,2,Warming,355.3,,,,,,
2012,2,Warming,368.9,,,,,,
2013,2,Warming,434.2,,,,,,
2014,2,Warming,444.4,,,,,,
2015,2,Warming,336,,,,,,
2016,2,Warming,401.5,,,,,,
1999,3,Control,843.9,,,,,,
2000,3,Control,956.9,,,,,,
2001,3,Control,668.8,,,,,,
2002,3,Control,605,,,,,,
2003,3,Control,534,,,,,,
2004,3,Control,440.4,,,,,,
2005,3,Control,498.1,,,,,,
2006,3,Control,591.7,,,,,,
2007,3,Control,532,,,,,,
2008,3,Control,393.2,,,,,,
2009,3,Control,441.5,,,,,,
2010,3,Control,290.8,,,,,,
2011,3,Control,274.1,,,,,,
2012,3,Control,279.8,,,,,,
2013,3,Control,308.4,,,,,,
2014,3,Control,273.8,,,,,,
2015,3,Control,293.8,,,,,,
2016,3,Control,270.9,,,,,,
1999,4,Drought,590.1,,,,,,
2000,4,Drought,608.7,,,,,,
2001,4,Drought,861.2,,,,,,
2002,4,Drought,659.2,,,,,,
2003,4,Drought,699.5,,,,,,
2004,4,Drought,670.5,,,,,,
2005,4,Drought,611.5,,,,,,
2006,4,Drought,538.1,,,,,,
2007,4,Drought,586.8,,,,,,
2008,4,Drought,378,,,,,,
2009,4,Drought,441.6,,,,,,
2010,4,Drought,332.4,,,,,,
2011,4,Drought,469,,,,,,
2012,4,Drought,596,,,,,,
2013,4,Drought,534.1,,,,,,
2014,4,Drought,389.7,,,,,,
2015,4,Drought,320,,,,,,
2016,4,Drought,346.8,,,,,,
1999,5,Drought,1203.4,,,,,,
2000,5,Drought,1076,,,,,,
2001,5,Drought,878.8,,,,,,
2002,5,Drought,581.3,,,,,,
2003,5,Drought,630.3,,,,,,
2004,5,Drought,572.4,,,,,,
2005,5,Drought,536.5,,,,,,
2006,5,Drought,535,,,,,,
2007,5,Drought,590.6,,,,,,
2008,5,Drought,359.5,,,,,,
2009,5,Drought,463.4,,,,,,
2010,5,Drought,344.8,,,,,,
2011,5,Drought,393,,,,,,
2012,5,Drought,481,,,,,,
2013,5,Drought,649.3,,,,,,
2014,5,Drought,927.5,,,,,,
2015,5,Drought,799.2,,,,,,
2016,5,Drought,395.9,,,,,,
1999,6,Control,817.8,,,,,,
2000,6,Control,846.6,,,,,,
2001,6,Control,647.2,,,,,,
2002,6,Control,503.1,,,,,,
2003,6,Control,666,,,,,,
2004,6,Control,416.4,,,,,,
2005,6,Control,438.2,,,,,,
2006,6,Control,538.6,,,,,,
2007,6,Control,532.6,,,,,,
2008,6,Control,354.1,,,,,,
2009,6,Control,367.1,,,,,,
2010,6,Control,242.4,,,,,,
2011,6,Control,252.3,,,,,,
2012,6,Control,311.1,,,,,,
2013,6,Control,328.9,,,,,,
2014,6,Control,306.6,,,,,,
2015,6,Control,300.2,,,,,,
2016,6,Control,373.2,,,,,,
1999,7,Warming,661.9,,,,,,
2000,7,Warming,790.5,,,,,,
2001,7,Warming,661.2,,,,,,
2002,7,Warming,547,,,,,,
2003,7,Warming,657.9,,,,,,
2004,7,Warming,512.3,,,,,,
2005,7,Warming,485.1,,,,,,
2006,7,Warming,604.7,,,,,,
2007,7,Warming,489.2,,,,,,
2008,7,Warming,363.6,,,,,,
2009,7,Warming,304.5,,,,,,
2010,7,Warming,287.3,,,,,,
2011,7,Warming,294.7,,,,,,
2012,7,Warming,387.6,,,,,,
2013,7,Warming,460.2,,,,,,
2014,7,Warming,288.7,,,,,,
2015,7,Warming,272.7,,,,,,
2016,7,Warming,274.8,,,,,,
1999,8,Drought,629.8,,,,,,
2000,8,Drought,634,,,,,,
2001,8,Drought,779.8,,,,,,
2002,8,Drought,613.1,,,,,,
2003,8,Drought,659.4,,,,,,
2004,8,Drought,550.5,,,,,,
2005,8,Drought,532.6,,,,,,
2006,8,Drought,618.4,,,,,,
2007,8,Drought,628.3,,,,,,
2008,8,Drought,444.1,,,,,,
2009,8,Drought,440,,,,,,
2010,8,Drought,359.7,,,,,,
2011,8,Drought,420.4,,,,,,
2012,8,Drought,470.3,,,,,,
2013,8,Drought,479.2,,,,,,
2014,8,Drought,382.2,,,,,,
2015,8,Drought,334.4,,,,,,
2016,8,Drought,321.8,,,,,,
1999,9,Control,999.9,,,,,,
2000,9,Control,909.6,,,,,,
2001,9,Control,725.7,,,,,,
2002,9,Control,510.6,,,,,,
2003,9,Control,500.3,,,,,,
2004,9,Control,391.1,,,,,,
2005,9,Control,440.7,,,,,,
2006,9,Control,535.9,,,,,,
2007,9,Control,455.2,,,,,,
2008,9,Control,317.5,,,,,,
2009,9,Control,379.7,,,,,,
2010,9,Control,269.6,,,,,,
2011,9,Control,311.6,,,,,,
2012,9,Control,438.5,,,,,,
2013,9,Control,370.2,,,,,,
2014,9,Control,396.4,,,,,,
2015,9,Control,283.6,,,,,,
2016,9,Control,275.2,,,,,,
