Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
1,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1998,CA-BND-3YRWD,2001.5,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,255,,,,-7,262,-0.03,,,,,1.3,,,0,Growing,,,-136,111,106,5,5,,0,5,5,,0,0,200,80,120,70,50,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
2,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1995,CA-BND-6YRWD,2001.5,1.5,56.46,-99.97,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Gray luvisol (Boralf),Dry,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,85,,,,9,76,0.11,,,,,0.6,,,0.25,Growing,,,-134,188.5,183.5,20.3,20.3,,2,20.3,22.3,,0.1,0.5,160,90,70,40,30,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
3,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1989,CA-BND-12YRWD,2001.5,1.5,55.91,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,425,,,,140,285,0.33,,,,,1.98,,,0.4,Growing,,,-2,366.5,354.1,12.8,12.8,,17.5,12.8,30.3,,0,0,520,400,120,70,50,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
4,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1981,CA-BND-20YRWD,2001.5,1.5,55.86,-98.48,,None,,,20,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Mixed,Aggrading,Gray luvisol (Boralf),Dry,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,551,,,,166,385,0.3,,,,,2.75,,,0.3,Growing,,,43,403,363.4,39.7,22.6,,31.3,22.6,53.9,,0.9,4.1,1050,700,350,230,120,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
5,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1964,CA-BND-37YRWD,2001.5,1.5,55.92,-98.39,,None,,,37,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,484,,,,106,378,0.22,,,,,2.2,,,0.24,Growing,,,97,432,377.2,54.9,36,,30.8,36,66.8,,1.8,11.6,2300,1500,800,600,200,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
6,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1930,CA-BND-71YRWD,2001.5,1.5,55.91,-98.52,,None,,,71,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,540,,,,146,394,0.27,,,,,2.27,,,0.22,Growing,,,112,362,202.6,159.4,78.7,,59.6,78.7,138.3,,6.8,36.7,6720,5500,1220,970,250,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
7,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1850; NOBS,CA-BND-151YRWD,2001.5,1.5,55.88,-98.48,,None,,,151,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Gray luvisol (Boralf),Medium,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,375,,,,46,329,0.12,,,,,1.85,,,0.13,Growing,,,-19,211,147.1,74.5,74.5,,33.5,74.5,108,,5.3,42.2,8530,7100,1430,1230,200,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
8,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1998,CA-BND-3YRPD,2001.5,1.5,56.63,-99.94,,None,,,3,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Evergreen,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,137,,,,3,134,0.02,,,,,0.66,,,0,Growing,,,-76,74,68,6,4.3,,0,4.3,4.3,,0,0,90,20,70,40,30,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
9,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1995,CA-BND-6YRPD,2001.5,1.5,56.46,-99.98,,None,,,6,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,513,,,,15,498,0.03,,,,,2.36,,,0.09,Growing,,,131,490,456.4,34.6,34.6,,1,34.6,35.6,,0,0,550,100,450,300,150,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
10,2008-09-26,2534,Bond-Lamberty,,Q02,BBL,Canada,Manitoba,BOREAS NSA-W1989,CA-BND-12YRPD,2001.5,1.5,55.9,-98.98,,None,,,12,Picea mariana; Pinus banksiana; Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Luvic gleysol (Aqualf),Wet,,,,,,0.8,450,,,,IRGA,5,3,854.87,,30,0.35,Exclusion,337,,,,98,239,0.29,,,,,1.65,,,0.27,Growing,,,-30,261,223.3,37.7,30.6,,5.2,30.6,35.8,,0,0,740,350,390,260,130,,,,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997)
