Record_number,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max
1,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,80,0.82,2,17.45,93.96,1,251,,,0.94,3.74,2.54,2,2.74,1.5,5,15,1.3,15,25
2,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,53,0.75,2,9.79,71.72,1,251,,,1.05,2.74,2.04,1.7,2.16,1.5,5,15,1.3,15,25
3,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,82,0.84,2,7,55.54,1,251,,,1.24,2.18,1.73,1.51,1.81,1.5,5,15,1.3,15,25
4,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,67,0.8,2,19.04,80.34,1,251,,,1.56,3.09,2.22,1.81,2.36,1.5,5,15,1.3,15,25
5,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,96,0.91,2,24.75,85.6,1,251,,,1.73,3.33,2.34,1.88,2.5,1.5,5,15,1.3,15,25
6,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,92,0.9,2,12.72,65.1,1,251,,,1.68,2.49,1.91,1.62,2.01,1.5,5,15,1.3,15,25
7,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,62,0.9,2,5.1,40.27,1,251,,,1.46,1.76,1.49,1.35,1.54,1.5,5,15,1.3,15,25
8,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,80,0.82,2,17.45,93.96,1,251,,,0.94,3.74,2.54,2,2.74,1.5,5,15,1.3,15,25
9,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,53,0.75,2,9.79,71.72,1,251,,,1.05,2.74,2.04,1.7,2.16,1.5,5,15,1.3,15,25
10,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,82,0.84,2,7,55.54,1,251,,,1.24,2.18,1.73,1.51,1.81,1.5,5,15,1.3,15,25
11,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,67,0.8,2,19.04,80.34,1,251,,,1.56,3.09,2.22,1.81,2.36,1.5,5,15,1.3,15,25
12,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,96,0.91,2,24.75,85.6,1,251,,,1.73,3.33,2.34,1.88,2.5,1.5,5,15,1.3,15,25
13,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,92,0.9,2,12.72,65.1,1,251,,,1.68,2.49,1.91,1.62,2.01,1.5,5,15,1.3,15,25
14,"Arrhenius, R=a exp(-b/c(T-d)), T in K",Positive,umol CO2/m2/s,3,22,62,0.9,2,5.1,40.27,1,251,,,1.46,1.76,1.49,1.35,1.54,1.5,5,15,1.3,15,25
15,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-4.216,0.398,-0.009,10,,,1.26,3.83,1.59,,,27.5,0,5,,,
16,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
17,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
18,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
19,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
20,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
21,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-6.113,0.612,-0.013,10,,,2.73,9.77,2.72,,,27.5,0,5,,,
22,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-4.557,0.61,-0.014,10,,,8.05,6.9,1.72,,,27.5,0,5,,,
23,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
24,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
25,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
26,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
27,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
28,"Exponential (other), ln(R)=a+b(T+d)+c(T+d)^2",Positive,umol CO2/m2/s,-3,14,,0.78,10,-8.454,0.822,-0.018,10,,,2.28,17.29,2.89,,,27.5,0,5,,,
33,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
34,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
35,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
36,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
37,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
38,"Exponential (other), R=a 10^(b(T-c))",Positive,g CO2/m2/hr,,,,0.8,10,0.158,0.023,0,,,,1.68,1.7,1.7,1.7,1.7,1.94,0,20,,,
42,Other,Positive,umol CO2/m2/s,0,18,80,0.86,15,,,,,,Negative,2,3.8,3.8,3.8,3.8,,,,,,
43,Other,Positive,umol CO2/m2/s,0,18,80,0.91,15,,,,,,Negative,1.8,2.7,2.7,2.7,2.7,,,,,,
44,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d)))",Positive,,,,822,0.72,5,2.05,304,56.02,-46.02,,Positive,2.05,3.25,2.66,2.27,2.72,,,,,,
45,"Q10, R=a b^((T-c)/10)",Positive,,,,822,0.7,5,2.03,2.61,0,,,Positive,2.03,2.61,2.61,2.61,2.61,,,,,,
46,"Exponential, R=a exp(b(T-c))",Positive,,,,20,0.8,5,0.98,0.088,0,,,None,2.36,2.41,2.41,2.41,2.41,,,,,,
47,"Exponential, R=a exp(b(T-c))",Positive,,,,23,0.62,10,1.24,0.085,0,,,None,2.9,2.34,2.34,2.34,2.34,,,,,,
48,"Exponential, R=a exp(b(T-c))",Positive,,,,16,0.73,15,0.99,0.109,0,,,None,2.94,2.97,2.97,2.97,2.97,,,,,,
49,"Exponential, R=a exp(b(T-c))",Positive,,,,14,0.81,5,0.8,0.117,0,,,None,2.58,3.22,3.22,3.22,3.22,,,,,,
50,"Exponential, R=a exp(b(T-c))",Positive,,,,24,0.85,10,0.73,0.141,0,,,None,2.99,4.1,4.1,4.1,4.1,,,,,,
51,"Exponential, R=a exp(b(T-c))",Positive,,,,12,0.93,15,0.55,0.166,0,,,None,2.89,5.26,5.26,5.26,5.26,,,,,,
52,"Exponential, R=a exp(b(T-c))",Positive,,,,16,0.8,5,1.03,0.105,0,,,None,2.94,2.86,2.86,2.86,2.86,,,,,,
53,"Exponential, R=a exp(b(T-c))",Positive,,,,21,0.8,10,1.01,0.119,0,,,None,3.32,3.29,3.29,3.29,3.29,,,,,,
54,"Exponential, R=a exp(b(T-c))",Positive,,,,14,0.7,15,1.05,0.119,0,,,None,3.45,3.29,3.29,3.29,3.29,,,,,,
55,"Exponential, R=a exp(b(T-c))",Positive,,,,21,0.75,5,0.87,0.087,0,,,None,2.08,2.39,2.39,2.39,2.39,,,,,,
56,"Exponential, R=a exp(b(T-c))",Positive,,,,30,0.71,10,0.85,0.103,0,,,None,2.38,2.8,2.8,2.8,2.8,,,,,,
57,"Exponential, R=a exp(b(T-c))",Positive,,,,22,0.72,15,0.73,0.117,0,,,None,2.35,3.22,3.22,3.22,3.22,,,,,,
58,"Exponential, R=a exp(b(T-c))",Positive,,,,12,0.95,5,0.72,0.12,0,,,Negative,2.39,3.32,3.32,3.32,3.32,,,,,,
59,"Exponential, R=a exp(b(T-c))",Positive,,,,15,0.68,5,1.02,0.1,0,,,Negative,2.77,2.72,2.72,2.72,2.72,,,,,,
61,"Exponential, R=a exp(b(T-c))",,,,,,,3,,,,,,,,,,,,2.3,0,15,,,
62,"Exponential, R=a exp(b(T-c))",,,,,,,3,,,,,,,,,,,,2.3,0,15,,,
63,"Exponential, R=a exp(b(T-c))",,,,,,,3,,,,,,,,,,,,2.3,0,15,,,
64,"Exponential, R=a exp(b(T-c))",,,,,,,3,,,,,,,,,,,,2.3,0,15,,,
66,Other,,,,,,,,,,,,,,,,,,,1.9,5,25,,,
67,Other,,,,,,,,,,,,,,,,,,,1.9,5,25,,,
69,"Linear, R=a+b(T-c)",,,,,57,0.76,10,0.93,0.29,0,,,,3.83,4.12,2.22,1.76,2.69,,,,,,
70,"Linear, R=a+b(T-c)",,,,,38,0.7,10,0.63,0.27,0,,,,3.33,5.29,2.36,1.81,3.09,,,,,,
71,"Linear, R=a+b(T-c)",,,,,54,0.83,10,0.62,0.22,0,,,,2.82,4.55,2.28,1.78,2.85,,,,,,
72,Other,,,,,,0.86,10,1.13,0.136,,,,,2.64,3.9,3.9,3.9,3.9,,,,,,
77,"Exponential, R=a exp(b(T-c))",,,,,,0.55,10,1.114,0.079,0,,,,2.45,2.2,2.2,2.2,2.2,,,,,,
79,"Exponential, R=a exp(b(T-c))",,,,,35,0.57,20,0.94,0.105,0,,,,2.69,2.86,2.86,2.86,2.86,,,,,,
